province,year,active_insured_total,category,indicator,unit,geographical_region,statistical_region
Ağrı,2012,49179,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Doğu Anadolu,Kuzeydoğu Anadolu
Ağrı,2013,45970,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Doğu Anadolu,Kuzeydoğu Anadolu
Ağrı,2014,48154,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Doğu Anadolu,Kuzeydoğu Anadolu
Ağrı,2015,53217,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Doğu Anadolu,Kuzeydoğu Anadolu
Ağrı,2016,53414,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Doğu Anadolu,Kuzeydoğu Anadolu
Ağrı,2017,60593,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Doğu Anadolu,Kuzeydoğu Anadolu
Ağrı,2018,62360,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Doğu Anadolu,Kuzeydoğu Anadolu
Ağrı,2019,62617,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Doğu Anadolu,Kuzeydoğu Anadolu
Ağrı,2020,68428,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Doğu Anadolu,Kuzeydoğu Anadolu
Ağrı,2021,70373,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Doğu Anadolu,Kuzeydoğu Anadolu
Ağrı,2022,75090,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Doğu Anadolu,Kuzeydoğu Anadolu
Ağrı,2023,73235,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Doğu Anadolu,Kuzeydoğu Anadolu
Ağrı,2024,73734,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Doğu Anadolu,Kuzeydoğu Anadolu
Balıkesir,2009,239702,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Marmara,Batı Marmara
Balıkesir,2010,248560,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Marmara,Batı Marmara
Balıkesir,2011,265026,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Marmara,Batı Marmara
Balıkesir,2012,264845,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Marmara,Batı Marmara
Balıkesir,2013,267482,Aktif Sigortalılar,"01.Toplam Aktif Sigortalı (4a, 4b, 4c)",Kişi,Marmara,Batı Marmara
