province,year,education_population_6_plus,illiterate_total,literate_no_diploma_total,lower_secondary_total,upper_secondary_total,university_total,masters_total,doctorate_total,illiterate_rate,upper_secondary_rate,university_rate,postgraduate_rate
Gaziantep,2022,1887425.0,50571.0,245724.0,408035.0,340451.0,207403.0,24160.0,2897.0,0.026793647429699193,0.18037855808840086,0.10988675046690596,0.014335404055790296
Gaziantep,2023,1911255.0,50138.0,246457.0,417597.0,354001.0,219147.0,26188.0,3041.0,0.026233024897253376,0.1852191361173679,0.11466130893051947,0.015293092758423131
Gaziantep,2024,1949841.0,48245.0,246398.0,424303.0,371635.0,230826.0,27985.0,3331.0,0.02474304315069793,0.1905975923165017,0.11838196037523059,0.01606079675214543
Giresun,2021,418847.0,17102.0,46465.0,65206.0,91817.0,60266.0,5489.0,1051.0,0.04083113881679945,0.21921369855818473,0.14388547608076457,0.0156142935248432
Giresun,2022,420361.0,16466.0,44983.0,63645.0,94099.0,63015.0,5799.0,1097.0,0.03917109341732463,0.22385283125694344,0.14990686576537784,0.01640494717635556
Giresun,2023,431558.0,16245.0,44767.0,65692.0,98962.0,64643.0,6115.0,1168.0,0.037642680705722055,0.2293133252077357,0.14978983126254178,0.016876063008911896
Giresun,2024,427195.0,15408.0,42919.0,63796.0,100189.0,66041.0,6446.0,1230.0,0.036067837872634276,0.23452755767272557,0.1545921651704725,0.01796837509802315
Gümüşhane,2021,138032.0,4498.0,14652.0,19038.0,33339.0,19308.0,2002.0,410.0,0.03258664657470731,0.2415309493450794,0.13988060739538657,0.0174742088791005
Gümüşhane,2022,133407.0,4164.0,14037.0,17801.0,33203.0,19272.0,1964.0,416.0,0.03121275495288853,0.24888499104244904,0.14446018574737457,0.01784014332081525
Gümüşhane,2023,137099.0,4163.0,13129.0,19779.0,36530.0,19581.0,2081.0,458.0,0.030364918781318608,0.26644979175632205,0.1428237988606773,0.01851946403693681
Gümüşhane,2024,131496.0,3860.0,12593.0,18392.0,35238.0,19278.0,2211.0,488.0,0.029354505080002435,0.26797773316298595,0.14660521993064426,0.020525339173815174
Hakkari,2021,246664.0,9042.0,31278.0,62769.0,65539.0,26931.0,2257.0,170.0,0.036657153050303246,0.2657015210975254,0.10918091006389258,0.009839295559952
Hakkari,2022,245283.0,8831.0,30900.0,59775.0,68526.0,27180.0,2248.0,179.0,0.036003310461793114,0.2793752522596348,0.11081077775467521,0.009894693068822544
Hakkari,2023,258190.0,9021.0,31495.0,59725.0,77149.0,32278.0,2520.0,196.0,0.03493938572369185,0.29880708005732215,0.1250164607459623,0.010519384949068516
Hakkari,2024,254068.0,8714.0,31266.0,58137.0,76644.0,31086.0,2406.0,202.0,0.03429790449800841,0.30166727017963696,0.12235307083143096,0.010264968433647685
Hatay,2021,1496691.0,25828.0,193661.0,292240.0,276208.0,183260.0,17676.0,2120.0,0.017256735024129898,0.1845457746455347,0.12244344356984842,0.013226511016636033
Hatay,2022,1518232.0,25397.0,193959.0,289139.0,290027.0,192306.0,19083.0,2227.0,0.01672800994841368,0.19102943423666474,0.12666443600187588,0.014036062999594265
Hatay,2023,1399036.0,24900.0,177053.0,273642.0,268447.0,177558.0,17615.0,1791.0,0.01779796945897032,0.191879980214948,0.12691453257814667,0.013870979731758153
Hatay,2024,1422839.0,24120.0,175199.0,275043.0,282057.0,186097.0,18900.0,1884.0,0.016952023384233916,0.19823535902516026,0.13079273199567906,0.014607415174872209
Isparta,2021,406770.0,8258.0,31394.0,60583.0,101274.0,67539.0,8189.0,2350.0,0.020301398824888756,0.2489711630651228,0.16603731838631167,0.02590899033852054
Isparta,2022,407724.0,8112.0,30596.0,59047.0,103634.0,69625.0,8601.0,2441.0,0.01989581187273744,0.2541768451207189,0.17076502732240437,0.027082045697579736
Isparta,2023,414044.0,8152.0,30506.0,60086.0,107906.0,71669.0,9287.0,2570.0,0.019688728734144196,0.2606148138845147,0.17309512998618504,0.028637053066823816
Isparta,2024,413352.0,7857.0,29740.0,59069.0,109557.0,72582.0,9667.0,2721.0,0.0190080125413691,0.2650452882773036,0.17559368286593507,0.029969614275484332
Iğdır,2021,179601.0,10220.0,25440.0,38509.0,31764.0,19425.0,2142.0,337.0,0.05690391478889316,0.17685870345933485,0.10815641338299899,0.013802818469830346
Iğdır,2022,181436.0,9892.0,25219.0,37972.0,34360.0,20141.0,2215.0,364.0,0.054520602306047314,0.18937807270883397,0.11100884058290526,0.014214378623867369
Iğdır,2023,188657.0,9643.0,25568.0,38609.0,38857.0,22741.0,2577.0,399.0,0.051113926331914535,0.20596638343660717,0.12054151184424644,0.01577465983239424
Iğdır,2024,187122.0,9342.0,25064.0,38553.0,39209.0,22172.0,2535.0,438.0,0.04992464809055055,0.20953709344705593,0.11848954158249698,0.01588803026902235
Kahramanmaraş,2021,1052370.0,42437.0,122140.0,215605.0,200031.0,119665.0,13354.0,1722.0,0.04032517080494503,0.1900766840559879,0.11371000693672377,0.01432575995134791
Kahramanmaraş,2022,1063286.0,42026.0,120473.0,212437.0,210815.0,126232.0,14137.0,1789.0,0.03952464341672889,0.19826744638789565,0.11871876428355119,0.01497809620365546
Kahramanmaraş,2023,1015093.0,39813.0,113892.0,205090.0,201461.0,122051.0,13584.0,1685.0,0.03922103689021597,0.1984655593132846,0.12023627391775926,0.015041971523791416
Kahramanmaraş,2024,1036650.0,38251.0,113054.0,207040.0,214464.0,129586.0,14286.0,1852.0,0.036898663965658614,0.20688178266531615,0.1250045820672358,0.015567452852939758
Karabük,2021,224633.0,8251.0,16859.0,33100.0,55041.0,38005.0,3818.0,833.0,0.036731023491650826,0.24502633183904413,0.1691870740274136,0.02070488307595055
Karabük,2022,226128.0,7844.0,16484.0,32525.0,56891.0,39228.0,4008.0,903.0,0.034688318120710396,0.2515875964055756,0.17347696879643387,0.021717788155381022
Karabük,2023,230120.0,7548.0,16480.0,33204.0,59903.0,39079.0,4241.0,926.0,0.03280027811576569,0.26031201112463065,0.16982009386407093,0.022453502520424128
Karabük,2024,227245.0,7111.0,16256.0,32370.0,59407.0,39114.0,4431.0,997.0,0.031292217650553365,0.26142269356861536,0.17212259895707277,0.02388611410592092
Karaman,2021,234943.0,4142.0,20408.0,42401.0,46557.0,31143.0,3277.0,587.0,0.017629808081109036,0.19816295867508288,0.1325555560284835,0.016446542352826006
Karaman,2022,237712.0,4186.0,20038.0,41245.0,49666.0,32600.0,3464.0,637.0,0.017609544322541564,0.20893349936057076,0.13714074173790133,0.01725196876893047
Karaman,2023,241921.0,4215.0,20143.0,42219.0,52160.0,33738.0,4067.0,690.0,0.017423043059511163,0.2156075743734525,0.13945874893043597,0.019663443851505244
Karaman,2024,242179.0,4026.0,19846.0,41572.0,53268.0,34503.0,4316.0,726.0,0.016624067322104724,0.21995300996370454,0.1424690002023297,0.02081931133583011
Kars,2021,251829.0,12623.0,28326.0,54269.0,46745.0,27051.0,3263.0,667.0,0.050125283426452075,0.18562198952463774,0.1074181289684667,0.015605827764078005
Kars,2022,247936.0,12095.0,27297.0,52669.0,47720.0,27565.0,3197.0,705.0,0.0487827503871967,0.19246902426432627,0.11117788461538461,0.01573793236964378
